Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE
Linear Regression,0.5904682431073305,0.2907451855798152,291.82881279020796,358.1680408645128,213.37562006939442,211.11596204561255
Ridge Regression,0.5881559702106918,0.30003596988293546,292.651506068623,355.8144216361202,213.34337374004016,204.66417420122528
Lasso Regression,0.5887334554719381,0.2996256687629788,292.4462569886843,355.9186910425612,213.08585018469134,206.0773747436084
