Name,Year,Rating
Prisoners,2013,8.2 (891K)
The Treasure of the Sierra Madre,1948,8.2 (139K)
Yojimbo,1961,8.2 (140K)
Finding Nemo,2003,8.2 (1.2M)
Howl's Moving Castle,2004,8.2 (493K)
The Best of Youth,2003,8.4 (26K)
The Great Escape,1963,8.2 (272K)
Monty Python and the Holy Grail,1975,8.2 (593K)
The Elephant Man,1980,8.2 (276K)
Klaus,2019,8.2 (219K)
Dial M for Murder,1954,8.2 (200K)
Gone with the Wind,1939,8.2 (350K)
The Secret in Their Eyes,2009,8.2 (236K)
Chinatown,1974,8.1 (369K)
"Lock, Stock and Two Smoking Barrels",1998,8.1 (640K)
V for Vendetta,2005,8.1 (1.2M)
Rashomon,1950,8.1 (192K)
Inside Out,2015,8.1 (882K)
"Three Billboards Outside Ebbing, Missouri",2017,8.1 (590K)
Catch Me If You Can,2002,8.1 (1.2M)
Trainspotting,1996,8.1 (756K)
The Bridge on the River Kwai,1957,8.1 (244K)
Raging Bull,1980,8.1 (400K)
Harry Potter and the Deathly Hallows: Part 2,2011,8.1 (1M)
Fargo,1996,8.1 (764K)
The Wild Robot,2024,8.2 (195K)
Warrior,2011,8.1 (519K)
Million Dollar Baby,2004,8.1 (753K)
Dead Poets Society,1989,8.1 (608K)
Gran Torino,2008,8.1 (847K)
Ben-Hur,1959,8.1 (266K)
Mad Max: Fury Road,2015,8.1 (1.2M)
Barry Lyndon,1975,8.1 (197K)
My Neighbour Totoro,1988,8.1 (416K)
Children of Heaven,1997,8.2 (87K)
Hacksaw Ridge,2016,8.1 (651K)
The Grand Budapest Hotel,2014,8.1 (939K)
12 Years a Slave,2013,8.1 (771K)
Before Sunrise,1995,8.1 (365K)
Spider-Man: No Way Home,2021,8.2 (974K)
Blade Runner,1982,8.1 (863K)
Memories of Murder,2003,8.1 (250K)
Gone Girl,2014,8.1 (1.1M)
Ratatouille,2007,8.1 (904K)
How to Train Your Dragon,2010,8.1 (865K)
"Monsters, Inc",2001,8.1 (1M)
Jaws,1975,8.1 (713K)
In the Name of the Father,1993,8.1 (198K)
Wild Tales,2014,8.1 (232K)
The Gold Rush,1925,8.1 (126K)
Le Mans '66,2019,8.1 (540K)
Sherlock Jr,1924,8.1 (63K)
Mary and Max,2009,8.1 (198K)
The Deer Hunter,1978,8.1 (379K)
The Wages of Fear,1953,8.1 (72K)
The General,1926,8.1 (104K)
Mr,1939,8.1 (127K)
On the Waterfront,1954,8.1 (174K)
Logan,2017,8.1 (902K)
Rocky,1976,8.1 (669K)
Wild Strawberries,1957,8.1 (122K)
Tokyo Story,1953,8.1 (75K)
The Third Man,1949,8.1 (192K)
Maharaja,2024,8.4 (74K)
Spotlight,2015,8.1 (524K)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.3M)
The Terminator,1984,8.1 (977K)
The Big Lebowski,1998,8.1 (899K)
La haine,1995,8.1 (216K)
Jai Bhim,2021,8.6 (229K)
The Seventh Seal,1957,8.1 (211K)
Room,2015,8.1 (472K)
Hotel Rwanda,2004,8.1 (387K)
Platoon,1986,8.1 (461K)
The Best Years of Our Lives,1946,8.1 (76K)
Before Sunset,2004,8.1 (306K)
The Sound of Music,1965,8.1 (281K)
The Exorcist,1973,8.1 (484K)
The Incredibles,2004,8.0 (870K)
Hachi: A Dog's Tale,2009,8.1 (333K)
Rush,2013,8.1 (544K)
The Wizard of Oz,1939,8.1 (456K)
The Passion of Joan of Arc,1928,8.1 (66K)
A Silent Voice,2016,8.1 (127K)
Stand by Me,1986,8.1 (471K)
The Iron Giant,1999,8.1 (250K)
My Father and My Son,2005,8.2 (99K)
The Handmaiden,2016,8.1 (193K)
Network,1976,8.1 (182K)
The Battle of Algiers,1966,8.1 (73K)
The Grapes of Wrath,1940,8.1 (106K)
To Be or Not to Be,1942,8.1 (48K)
Into the Wild,2007,8.0 (685K)
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2 (89K)
The Help,2011,8.1 (518K)
Drishyam,2015,8.2 (104K)
Groundhog Day,1993,8.0 (725K)
Gangs of Wasseypur,2012,8.2 (110K)
